REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Population, 2021 [1]",Symbols,"Population and dwelling counts (13): Population, 2016 [2]",Symbols.1,"Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]",Symbols.2,"Population and dwelling counts (13): Total private dwellings, 2021 [4]",Symbols.3,"Population and dwelling counts (13): Total private dwellings, 2016 [5]",Symbols.4,"Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]",Symbols.5,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]",Symbols.6,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]",Symbols.7,"Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]",Symbols.8,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",Symbols.9,"Population and dwelling counts (13): Population density per square kilometre, 2021 [11]",Symbols.10,"Population and dwelling counts (13): National population rank, 2021 [12]",Symbols.11,"Population and dwelling counts (13): Province/territory population rank, 2021 [13]",Symbols.12
2021-01-01,Division No.  6,2021A00034606,2950,9906,,10317,,-4.0,,4563,,4703,,-3.0,,3965,,4102,,-3.3,,4024.15,,2.5,,273,,20,
2021-01-01,Canupawakpa Dakota First Nation (Oak Lake 59),2021A00054606029,2951,322,,305,,5.6,,118,,106,,11.3,,108,,101,,6.9,,10.46,,30.8,,3438,,186,
2021-01-01,Pipestone,2021A00054606023,2952,1422,,1458,,-2.5,,677,,707,,-4.2,,593,,617,,-3.9,,1149.86,,1.2,,1720,,113,
2021-01-01,Sifton,2021A00054606016,2953,1239,,1256,,-1.4,,771,,784,,-1.7,,502,,516,,-2.7,,839.50,,1.5,,1858,,129,
2021-01-01,Sioux Valley Dakota Nation,2021A00054606040,2954,1057,,1028,,2.8,,345,,355,,-2.8,,325,,331,,-1.8,,37.94,,27.9,,2045,,145,
2021-01-01,Virden,2021A00054606034,2955,3118,,3322,,-6.1,,1508,,1576,,-4.3,,1401,,1465,,-4.4,,8.96,,347.8,,1014,,48,
2021-01-01,Wallace-Woodworth,2021A00054606031,2956,2748,,2948,,-6.8,,1144,,1175,,-2.6,,1036,,1072,,-3.4,,1977.43,,1.4,,1113,,59,
2021-01-01,Division No.  7,2021A00034607,2957,70896,,68746,,3.1,,30404,,29333,,3.7,,28490,,27632,,3.1,,6333.21,,11.2,,95,,3,
2021-01-01,Brandon,2021A00054607062,2958,51313,,48883,r,5.0,,22526,,21493,r,4.8,,21203,,20277,r,4.6,,79.04,,649.2,,101,,2,
2021-01-01,Carberry,2021A00054607068,2959,1818,,1738,,4.6,,847,,835,,1.4,,794,,769,,3.3,,4.80,,379.1,,1462,,89,
2021-01-01,Cornwallis,2021A00054607060,2960,4568,,4506,r,1.4,,1850,,1778,r,4.0,,1704,,1683,r,1.2,,500.51,,9.1,,779,,33,
2021-01-01,Elton,2021A00054607071,2961,1276,,1273,r,0.2,,503,,491,r,2.4,,468,,454,r,3.1,,576.14,,2.2,,1833,,126,
2021-01-01,Glenboro-South Cypress,2021A00054607039,2962,1123,,1550,r,-27.5,,484,,543,r,-10.9,,440,,507,r,-13.2,,1071.64,,1.0,,1974,,140,
2021-01-01,North Cypress-Langford,2021A00054607066,2963,3011,,2745,,9.7,,963,,887,,8.6,,902,,837,,7.8,,1762.30,,1.7,,1044,,54,
2021-01-01,Oakland-Wawanesa,2021A00054607046,2964,1758,,1690,,4.0,,670,,655,,2.3,,625,,611,,2.3,,578.82,,3.0,,1507,,92,
2021-01-01,Riverdale,2021A00054607076,2965,1803,,2133,,-15.5,,788,,920,,-14.3,,714,,848,,-15.8,,576.02,,3.1,,1476,,90,
2021-01-01,Souris-Glenwood,2021A00054607052,2966,2547,,2562,,-0.6,,1128,,1069,,5.5,,1028,,1019,,0.9,,579.69,,4.4,,1176,,63,
2021-01-01,Swan Lake 7A,2021A00054607040,2967,0,,15,r,-100.0,,0,,7,r,-100.0,,0,,7,r,-100.0,,26.62,,0.0,,4831,,222,
2021-01-01,Waywayseecappo Highway 10,2021A00054607072,2968,0,,0,r,,...,0,,1,r,-100.0,,0,,1,r,-100.0,,0.04,,0.0,,4831,,222,
2021-01-01,Whitehead,2021A00054607057,2969,1679,,1651,r,1.7,,645,,654,r,-1.4,,612,,619,r,-1.1,,577.60,,2.9,,1550,,95,
2021-01-01,Division No.  8,2021A00034608,2970,13877,,13968,,-0.7,,4827,,5008,,-3.6,,4453,,4638,,-4.0,,5843.87,,2.4,,255,,16,
2021-01-01,Glenella-Lansdowne,2021A00054608055,2971,1133,,1181,,-4.1,,419,,442,,-5.2,,375,,401,,-6.5,,1274.74,,0.9,,1965,,139,
2021-01-01,Norfolk-Treherne,2021A00054608032,2972,1770,,1751,,1.1,,685,,717,,-4.5,,645,,666,,-3.2,,737.90,,2.4,,1496,,91,
2021-01-01,North Norfolk,2021A00054608046,2973,3915,,3853,,1.6,,1433,,1375,,4.2,,1352,,1300,,4.0,,1158.26,,3.4,,872,,38,
2021-01-01,Sandy Bay 5,2021A00054608069,2974,2598,,2515,,3.3,,556,,584,,-4.8,,526,,565,,-6.9,,59.60,,43.6,,1156,,61,
2021-01-01,Victoria,2021A00054608042,2975,1188,,1132,r,4.9,,518,,491,r,5.5,,464,,451,r,2.9,,703.54,,1.7,,1911,,134,
2021-01-01,WestLake-Gladstone,2021A00054608060,2976,3273,,3154,,3.8,,1216,,1209,,0.6,,1091,,1075,,1.5,,1909.82,,1.7,,983,,47,
2021-01-01,Division No.  9,2021A00034609,2977,24339,,24391,,-0.2,,10119,,9807,,3.2,,9260,,9169,,1.0,,3009.17,,8.1,,195,,9,
2021-01-01,Dakota Plains 6A,2021A00054609026,2978,98,,76,,28.9,,48,,41,,17.1,,36,,29,,24.1,,5.49,,17.9,,4264,,204,
2021-01-01,Dakota Tipi 1,2021A00054609027,2979,226,,156,,44.9,,72,,51,,41.2,,72,,48,,50.0,,0.37,,604.0,,3764,,192,
2021-01-01,Grey,2021A00054609018,2980,2517,,2648,,-4.9,,1034,,1065,,-2.9,,959,,979,,-2.0,,968.90,,2.6,,1186,,65,
2021-01-01,Long Plain,2021A00054609030,2981,5,,0,r,,...,1,,1,r,0.0,,1,,1,r,0.0,,1.16,,4.3,,4760,,220,
2021-01-01,Long Plain 6,2021A00054609025,2982,1335,,1232,r,8.4,,399,,355,r,12.4,,381,,343,r,11.1,,35.09,,38.0,,1785,,120,
2021-01-01,Portage la Prairie,2021A00054609024,2983,6888,,6975,r,-1.2,,2456,,2500,r,-1.8,,2167,,2193,r,-1.2,,1973.45,,3.5,,589,,20,
2021-01-01,Portage la Prairie,2021A00054609029,2984,13270,,13304,,-0.3,,6109,,5794,,5.4,,5644,,5576,,1.2,,24.72,,536.8,,331,,7,
2021-01-01,Division No. 10,2021A00034610,2985,12913,,11941,,8.1,,4179,,3786,,10.4,,4048,,3678,,10.1,,1914.19,,6.7,,261,,18,
2021-01-01,Cartier,2021A00054610043,2986,3344,,3368,,-0.7,,850,,853,,-0.4,,811,,812,,-0.1,,552.94,,6.0,,960,,44,
2021-01-01,Macdonald,2021A00054610035,2987,8120,,7162,,13.4,,2815,,2428,,15.9,,2743,,2382,,15.2,,1156.11,,7.0,,507,,18,
2021-01-01,St. François Xavier,2021A00054610052,2988,1449,,1411,,2.7,,514,,505,,1.8,,494,,484,,2.1,,205.14,,7.1,,1698,,109,
2021-01-01,Division No. 11,2021A00034611,2989,753938,,708823,,6.4,,316807,,295343,,7.3,,301738,,282116,,7.0,,569.31,,1324.3,,9,,1,
2021-01-01,Headingley,2021A00054611042,2990,4331,,3579,,21.0,,1342,,1098,,22.2,,1307,,1070,,22.1,,107.53,,40.3,,811,,34,
2021-01-01,Winnipeg,2021A00054611040,2991,749607,,705244,,6.3,,315465,,294245,,7.2,,300431,,281046,,6.9,,461.78,,1623.3,,6,,1,
2021-01-01,Division No. 12,2021A00034612,2992,24863,,23683,,5.0,,9777,,9300,,5.1,,9331,,8875,,5.1,,1851.28,,13.4,,193,,8,
2021-01-01,Beausejour,2021A00054612056,2993,3307,,3219,,2.7,,1572,,1518,,3.6,,1483,,1443,,2.8,,5.42,,609.6,,972,,46,
2021-01-01,Brokenhead,2021A00054612054,2994,5414,,5122,,5.7,,2213,,2115,,4.6,,2053,,1973,,4.1,,749.69,,7.2,,693,,29,
2021-01-01,Springfield,2021A00054612047,2995,16142,,15342,,5.2,,5992,,5667,,5.7,,5795,,5459,,6.2,,1096.17,,14.7,,275,,5,
2021-01-01,Division No. 13,2021A00034613,2996,51643,,49086,,5.2,,22257,,20847,,6.8,,19767,,18426,,7.3,,1662.28,,31.1,,123,,5,
2021-01-01,Brokenhead 4,2021A00054613062,2997,434,,516,,-15.9,,178,,194,,-8.2,,154,,157,,-1.9,,54.95,,7.9,,3093,,182,
2021-01-01,Dunnottar,2021A00054613049,2998,989,,763,,29.6,,1206,,1154,,4.5,,496,,406,,22.2,,2.80,,353.8,,2121,,150,
2021-01-01,East St. Paul,2021A00054613032,2999,9725,,9372,,3.8,,3504,,3304,,6.1,,3464,,3263,,6.2,,41.79,,232.7,,439,,14,
2021-01-01,Selkirk,2021A00054613047,3000,10504,,10278,,2.2,,4643,,4328,,7.3,,4417,,4163,,6.1,,24.47,,429.3,,411,,12,
2021-01-01,St. Andrews,2021A00054613043,3001,11723,,11913,,-1.6,,4736,,4699,,0.8,,4404,,4407,,-0.1,,739.61,,15.9,,368,,10,
2021-01-01,St. Clements,2021A00054613056,3002,11586,,10876,,6.5,,5720,,5359,,6.7,,4604,,4238,,8.6,,711.17,,16.3,,372,,11,
2021-01-01,West St. Paul,2021A00054613037,3003,6682,,5368,,24.5,,2270,,1809,,25.5,,2228,,1792,,24.3,,87.49,,76.4,,603,,22,
2021-01-01,Division No. 14,2021A00034614,3004,19749,,18621,,6.1,,7573,,6967,,8.7,,7142,,6652,,7.4,,2833.41,,7.0,,224,,14,
2021-01-01,Rockwood,2021A00054614036,3005,8440,,7823,,7.9,,2927,,2824,,3.6,,2747,,2676,,2.7,,1184.89,,7.1,,489,,16,
2021-01-01,Rosser,2021A00054614015,3006,1270,,1372,,-7.4,,448,,481,,-6.9,,424,,453,,-6.4,,441.74,,2.9,,1834,,127,
2021-01-01,Stonewall,2021A00054614039,3007,5046,,4809,,4.9,,2127,,1749,,21.6,,2051,,1733,,18.3,,5.96,,846.4,,730,,31,
2021-01-01,Teulon,2021A00054614042,3008,1196,,1201,,-0.4,,588,,597,,-1.5,,544,,561,,-3.0,,3.23,,370.3,,1901,,133,
2021-01-01,Woodlands,2021A00054614031,3009,3797,,3416,,11.2,,1483,,1316,,12.7,,1376,,1229,,12.0,,1197.59,,3.2,,895,,40,
2021-01-01,Division No. 15,2021A00034615,3010,23304,,21379,,9.0,,11472,,10696,,7.3,,9193,,8564,,7.3,,8744.51,,2.7,,201,,10,
2021-01-01,Birdtail Creek 57,2021A00054615042,3011,452,,411,,10.0,,129,,120,,7.5,,126,,107,,17.8,,27.88,,16.2,,3042,,179,
2021-01-01,Clanwilliam-Erickson,2021A00054615092,3012,1012,,860,r,17.7,,834,,651,r,28.1,,487,,414,r,17.6,,358.05,,2.8,,2097,,147,
2021-01-01,Ellice-Archie,2021A00054615047,3013,831,,887,,-6.3,,392,,413,,-5.1,,351,,377,,-6.9,,1153.14,,0.7,,2330,,157,
2021-01-01,Gambler 63 (Part),2021A00054615049,3014,15,,5,,200.0,,2,,4,,-50.0,,2,,4,,-50.0,,2.53,,5.9,,4694,,218,
2021-01-01,Hamiota,2021A00054615037,3015,1234,,1225,,0.7,,610,,581,,5.0,,539,,534,,0.9,,577.68,,2.1,,1865,,131,
2021-01-01,Harrison Park,2021A00054615070,3016,1852,,1617,r,14.5,,1769,,1663,r,6.4,,910,,786,r,15.8,,964.55,,1.9,,1441,,85,
2021-01-01,Keeseekoowenin 61,2021A00054615067,3017,472,,386,,22.3,,175,,160,,9.4,,162,,154,,5.2,,21.42,,22.0,,3003,,177,
2021-01-01,Minnedosa,2021A00054615075,3018,2741,,2449,,11.9,,1398,,1333,,4.9,,1210,,1123,,7.7,,14.95,,183.4,,1116,,60,
2021-01-01,Minto-Odanah,2021A00054615074,3019,1121,,1189,,-5.7,,454,,442,,2.7,,412,,399,,3.3,,746.31,,1.5,,1977,,141,
2021-01-01,Neepawa,2021A00054615020,3020,5685,,4609,,23.3,,1946,,1628,,19.5,,1866,,1581,,18.0,,17.09,,332.7,,679,,26,
2021-01-01,Oakview,2021A00054615032,3021,1928,,1626,,18.6,,828,,659,,25.6,,781,,625,,25.0,,1141.98,,1.7,,1414,,83,
2021-01-01,Prairie View,2021A00054615056,3022,2161,,2088,,3.5,,970,,997,,-2.7,,832,,864,,-3.7,,1694.69,,1.3,,1317,,75,
2021-01-01,Rolling River 67,2021A00054615071,3023,379,,361,r,5.0,,139,,134,r,3.7,,125,,129,r,-3.1,,63.07,,6.0,,3248,,183,
2021-01-01,Rolling River 67B,2021A00054615072,3024,56,,46,,21.7,,12,,11,,9.1,,12,,11,,9.1,,3.32,,16.9,,4480,,212,
2021-01-01,Rosedale,2021A00054615078,3025,1524,,1672,,-8.9,,587,,621,,-5.5,,507,,533,,-4.9,,864.68,,1.8,,1650,,104,
2021-01-01,Yellowhead,2021A00054615063,3026,1841,,1948,,-5.5,,1227,,1279,,-4.1,,871,,923,,-5.6,,1093.17,,1.7,,1451,,88,
2021-01-01,Division No. 16,2021A00034616,3027,9945,,9848,,1.0,,5087,,4986,,2.0,,4216,,4121,,2.3,,4706.83,,2.1,,272,,19,
2021-01-01,Gambler 63 (Part),2021A00054616025,3028,76,,78,,-2.6,,29,,32,,-9.4,,29,,30,,-3.3,,2.05,,37.0,,4369,,207,
2021-01-01,Hillsburg-Roblin-Shell River,2021A00054616048,3029,3089,,3214,,-3.9,,1638,,1673,,-2.1,,1406,,1421,,-1.1,,1694.95,,1.8,,1023,,50,
2021-01-01,Riding Mountain West,2021A00054616020,3030,1442,,1420,,1.5,,987,,894,,10.4,,663,,621,,6.8,,1624.99,,0.9,,1702,,111,
2021-01-01,Rossburn,2021A00054616005,3031,973,,976,,-0.3,,619,,625,,-1.0,,453,,443,,2.3,,672.29,,1.4,,2141,,151,
2021-01-01,Russell-Binscarth,2021A00054616030,3032,2596,,2442,,6.3,,1243,,1213,,2.5,,1121,,1075,,4.3,,569.70,,4.6,,1157,,62,
2021-01-01,Valley River 63A,2021A00054616046,3033,360,,353,,2.0,,119,,111,,7.2,,117,,103,,13.6,,46.20,,7.8,,3316,,184,
2021-01-01,Waywayseecappo First Nation,2021A00054616017,3034,1409,,1365,,3.2,,452,,438,,3.2,,427,,428,,-0.2,,96.64,,14.6,,1732,,116,
2021-01-01,Division No. 17,2021A00034617,3035,21996,,22205,,-0.9,,11521,,11646,,-1.1,,9468,,9459,,0.1,,13630.54,,1.6,,209,,11,
2021-01-01,Alonsa,2021A00054617026,3036,1210,,1247,,-3.0,,659,,672,,-1.9,,492,,496,,-0.8,,3006.17,,0.4,,1883,,132,
2021-01-01,Dauphin,2021A00054617048,3037,2136,,2298,r,-7.0,,1023,,1054,r,-2.9,,896,,956,r,-6.3,,1512.79,,1.4,,1329,,76,
2021-01-01,Dauphin,2021A00054617050,3038,8368,,8369,r,0.0,,4048,,4080,r,-0.8,,3779,,3741,r,1.0,,12.67,,660.5,,493,,17,
2021-01-01,"Division No. 17, Unorganized",2021A00054617092,3039,212,,101,,109.9,,737,,783,,-5.9,,97,,50,,94.0,,2147.09,,0.1,,3829,,196,
2021-01-01,Ebb and Flow 52,2021A00054617029,3040,1608,,1341,,19.9,,446,,391,,14.1,,435,,376,,15.7,,45.69,,35.2,,1590,,98,
2021-01-01,Ethelbert,2021A00054617064,3041,648,,607,,6.8,,366,,391,,-6.4,,290,,282,,2.8,,1134.59,,0.6,,2621,,166,
2021-01-01,Gilbert Plains,2021A00054617054,3042,1420,,1470,,-3.4,,741,,763,,-2.9,,634,,664,,-4.5,,1050.15,,1.4,,1724,,114,
2021-01-01,Grandview,2021A00054617058,3043,1419,,1482,,-4.3,,750,,778,,-3.6,,657,,669,,-1.8,,1147.99,,1.2,,1725,,115,
2021-01-01,Lakeshore,2021A00054617075,3044,1186,,1363,,-13.0,,861,,902,,-4.5,,531,,628,,-15.4,,1295.64,,0.9,,1913,,135,
2021-01-01,McCreary,2021A00054617035,3045,748,,892,,-16.1,,396,,479,,-17.3,,345,,408,,-15.4,,527.77,,1.4,,2443,,161,
2021-01-01,Mossey River,2021A00054617072,3046,1450,,1145,,26.6,,730,,618,,18.1,,612,,507,,20.7,,1119.96,,1.3,,1697,,108,
2021-01-01,Ste. Rose,2021A00054617041,3047,1591,,1712,,-7.1,,764,,795,,-3.9,,700,,738,,-5.1,,630.04,,2.5,,1601,,99,
2021-01-01,Division No. 18,2021A00034618,3048,26636,,24155,r,10.3,,16310,,15528,,5.0,,11025,,10038,,9.8,,11362.44,,2.3,,188,,7,
2021-01-01,Arborg,2021A00054618074,3049,1279,,1232,,3.8,,531,,512,,3.7,,499,,498,,0.2,,2.22,,576.6,,1827,,123,
2021-01-01,Armstrong,2021A00054618037,3050,1967,,1792,,9.8,,1056,,915,,15.4,,831,,752,,10.5,,1868.24,,1.1,,1399,,82,
2021-01-01,Bifrost-Riverton,2021A00054618076,3051,3320,,3378,,-1.7,,1598,,1583,,0.9,,1200,,1225,,-2.0,,1643.14,,2.0,,970,,45,
2021-01-01,Coldwell,2021A00054618044,3052,1313,,1254,,4.7,,734,,730,,0.5,,552,,535,,3.2,,891.85,,1.5,,1802,,121,
2021-01-01,"Division No. 18, Unorganized, East Part",2021A00054618091,3053,229,,156,,46.8,,561,,546,,2.7,,121,,87,,39.1,,478.47,,0.5,,3753,,191,
2021-01-01,"Division No. 18, Unorganized, West Part",2021A00054618093,3054,0,,0,,,...,0,,0,,,...,0,,0,,,...,15.27,,0.0,,4831,,222,
2021-01-01,Dog Creek 46,2021A00054618055,3055,899,,874,,2.9,,256,,235,,8.9,,246,,233,,5.6,,54.48,,16.5,,2243,,154,
2021-01-01,Fairford 50,2021A00054618067,3056,1144,,1169,,-2.1,,354,,344,,2.9,,323,,306,,5.6,,77.08,,14.8,,1954,,138,
2021-01-01,Fisher,2021A00054618068,3057,1845,,1827,r,1.0,,799,,770,r,3.8,,660,,646,r,2.2,,1486.17,,1.2,,1445,,86,
2021-01-01,Gimli,2021A00054618031,3058,6569,,6181,,6.3,,4793,,4644,,3.2,,3141,,2942,,6.8,,318.10,,20.7,,608,,23,
2021-01-01,Grahamdale,2021A00054618060,3059,1278,,1334,r,-4.2,,886,,1112,r,-20.3,,579,,557,r,3.9,,2365.94,,0.5,,1830,,124,
2021-01-01,Little Saskatchewan 48,2021A00054618063,3060,627,,313,r,100.3,,195,,110,r,77.3,,179,,79,r,126.6,,29.12,,21.5,,2664,,169,
2021-01-01,Obushkudayang,2021A00054618061,3061,957,,0,r,,...,312,,0,r,,...,281,,0,r,,...,4.58,,208.9,,2167,,152,
2021-01-01,St. Laurent,2021A00054618040,3062,1542,,1338,,15.2,,1260,,1157,,8.9,,667,,551,,21.1,,480.15,,3.2,,1639,,103,
2021-01-01,West Interlake,2021A00054618056,3063,2228,,2162,,3.1,,1314,,1323,,-0.7,,989,,999,,-1.0,,1643.72,,1.4,,1295,,71,
2021-01-01,Winnipeg Beach,2021A00054618034,3064,1439,,1145,,25.7,,1661,,1547,,7.4,,757,,628,,20.5,,3.91,,367.7,,1706,,112,
2021-01-01,Division No. 19,2021A00034619,3065,15381,,16399,r,-6.2,,7625,,7984,,-4.5,,4825,,4817,,0.2,,60536.43,,0.3,,248,,15,
2021-01-01,Berens River 13,2021A00054619077,3066,1161,,1039,r,11.7,,321,,283,r,13.4,,263,,244,r,7.8,,26.15,,44.4,,1935,,136,
2021-01-01,Black River 9,2021A00054619054,3067,498,,698,,-28.7,,191,,264,,-27.7,,146,,178,,-18.0,,9.23,,53.9,,2945,,175,
2021-01-01,Bloodvein 12,2021A00054619052,3068,640,,687,,-6.8,,202,,198,,2.0,,193,,174,,10.9,,15.73,,40.7,,2645,,168,
2021-01-01,Chemawawin 3,2021A00054619082,3069,27,,15,,80.0,,9,,9,,0.0,,9,,6,,50.0,,47.98,,0.6,,4615,,216,
2021-01-01,Crane River 51,2021A00054619068,3070,438,,444,,-1.4,,130,,120,,8.3,,123,,106,,16.0,,35.97,,12.2,,3083,,181,
2021-01-01,Dauphin River 48A,2021A00054619062,3071,213,,0,,,...,79,,0,,,...,65,,0,,,...,3.40,,62.6,,3819,,194,
2021-01-01,"Division No. 19, Unorganized",2021A00054619045,3072,2839,,2900,r,-2.1,,3554,,3358,r,5.8,,1168,,1086,r,7.6,,59723.04,,0.0,,1088,,57,
2021-01-01,Fisher River 44,2021A00054619056,3073,1449,,1473,,-1.6,,518,,493,,5.1,,495,,459,,7.8,,55.17,,26.3,,1698,,109,
2021-01-01,Fisher River 44A,2021A00054619058,3074,44,,58,,-24.1,,13,,12,,8.3,,12,,11,,9.1,,7.59,,5.8,,4536,,214,
2021-01-01,Fort Alexander 3,2021A00054619050,3075,2127,,1929,,10.3,,698,,790,,-11.6,,582,,524,,11.1,,87.95,,24.2,,1332,,77,
2021-01-01,Hole or Hollow Water 10,2021A00054619053,3076,530,,582,,-8.9,,210,,202,,4.0,,170,,164,,3.7,,16.39,,32.3,,2870,,174,
2021-01-01,Jackhead 43,2021A00054619061,3077,267,,207,,29.0,,102,,108,,-5.6,,87,,71,,22.5,,12.11,,22.1,,3621,,188,
2021-01-01,Little Grand Rapids 14,2021A00054619051,3078,,..,810,,,..,,..,267,,,..,,..,209,,,..,22.60,,,..,,..,,..
2021-01-01,Pauingassi First Nation,2021A00054619079,3079,,..,307,r,,..,,..,96,r,,..,,..,85,r,,..,2.56,,,..,,..,,..
2021-01-01,Peguis 1B,2021A00054619059,3080,3053,,2704,,12.9,,909,,948,,-4.1,,863,,785,,9.9,,310.31,,9.8,,1029,,52,
2021-01-01,Pine Creek 66A,2021A00054619070,3081,700,,631,r,10.9,,238,,241,r,-1.2,,209,,205,r,2.0,,77.90,,9.0,,2523,,163,
2021-01-01,Poplar River 16,2021A00054619075,3082,,..,866,,,..,,..,231,,,..,,..,202,,,..,18.05,,,..,,..,,..
2021-01-01,Shoal River 65B,2021A00054619040,3083,95,,0,r,,...,34,,4,r,750.0,,34,,2,r,1600.0,,9.25,,10.3,,4284,,205,
2021-01-01,Shoal River Indian Reserve 65A,2021A00054619072,3084,759,,810,,-6.3,,221,,227,,-2.6,,215,,217,,-0.9,,3.75,,202.6,,2428,,160,
2021-01-01,Swan Lake 65C,2021A00054619071,3085,10,,23,,-56.5,,5,,6,,-16.7,,3,,6,,-50.0,,7.69,,1.3,,4722,,219,
2021-01-01,The Narrows 49,2021A00054619065,3086,55,,5,,1000.0,,16,,5,,220.0,,16,,4,,300.0,,24.09,,2.3,,4482,,213,
2021-01-01,Waterhen 45,2021A00054619069,3087,476,,373,,27.6,,175,,125,,40.0,,172,,120,,43.3,,19.54,,24.4,,2994,,176,
2021-01-01,Division No. 20,2021A00034620,3088,9634,,9621,,0.1,,4894,,4919,,-0.5,,4174,,4177,,-0.1,,9825.79,,1.0,,276,,22,
2021-01-01,"Division No. 20, Unorganized, North Part",2021A00054620069,3089,25,,25,r,0.0,,43,,47,r,-8.5,,14,,14,r,0.0,,1744.71,,0.0,,4629,,217,
2021-01-01,"Division No. 20, Unorganized, South Part",2021A00054620066,3090,95,,82,,15.9,,250,,262,,-4.6,,49,,39,,25.6,,2553.98,,0.0,,4284,,205,
2021-01-01,Minitonas-Bowsman,2021A00054620051,3091,1587,,1653,,-4.0,,758,,786,,-3.6,,691,,701,,-1.4,,1199.17,,1.3,,1606,,100,
2021-01-01,Mountain (North),2021A00054620055,3092,537,,559,,-3.9,,297,,320,,-7.2,,257,,251,,2.4,,988.01,,0.5,,2855,,173,
2021-01-01,Mountain (South),2021A00054620032,3093,443,,419,,5.7,,250,,284,,-12.0,,187,,187,,0.0,,1615.42,,0.3,,3067,,180,
2021-01-01,Swan River,2021A00054620048,3094,4049,,4014,,0.9,,2020,,1946,,3.8,,1825,,1824,,0.1,,6.81,,595.0,,852,,36,
2021-01-01,Swan Valley West,2021A00054620042,3095,2759,,2829,,-2.5,,1232,,1256,,-1.9,,1116,,1148,,-2.8,,1716.84,,1.6,,1108,,58,
2021-01-01,Wuskwi Sipihk First Nation 2,2021A00054620060,3096,139,,40,r,247.5,,44,,18,r,144.4,,35,,13,r,169.2,,0.84,,165.3,,4104,,200,
2021-01-01,Division No. 21,2021A00034621,3097,21871,,21983,,-0.5,,9632,,9162,,5.1,,8089,,7863,,2.9,,42801.19,,0.5,,211,,12,
2021-01-01,Chemawawin 2,2021A00054621029,3098,1264,,1252,,1.0,,375,,298,,25.8,,269,,261,,3.1,,2.51,,503.4,,1837,,128,
2021-01-01,"Division No. 21, Unorganized",2021A00054621078,3099,1712,,1857,r,-7.8,,1239,,1056,r,17.3,,714,,723,r,-1.2,,40578.97,,0.0,,1534,,94,
2021-01-01,Flin Flon (Part),2021A00054621064,3100,4940,,4991,r,-1.0,,2533,,2586,r,-2.0,,2280,,2257,r,1.0,,13.14,,376.1,,744,,32,
2021-01-01,Grand Rapids,2021A00054621025,3101,213,,268,,-20.5,,150,,135,,11.1,,92,,98,,-6.1,,74.27,,2.9,,3819,,194,
2021-01-01,Grand Rapids 33,2021A00054621027,3102,947,,868,,9.1,,284,,234,,21.4,,241,,225,,7.1,,18.91,,50.1,,2182,,153,
2021-01-01,Kelsey,2021A00054621052,3103,2181,,2419,r,-9.8,,1041,,947,r,9.9,,857,,819,r,4.6,,850.41,,2.6,,1307,,73,
2021-01-01,Moose Lake 31A,2021A00054621058,3104,837,,1124,,-25.5,,172,,254,,-32.3,,170,,222,,-23.4,,3.87,,216.5,,2321,,156,
2021-01-01,Moose Lake 31D,2021A00054621080,3105,155,,0,r,,...,46,,0,r,,...,46,,0,r,,...,0.45,,341.3,,4033,,197,
2021-01-01,Moose Lake 31G,2021A00054621060,3106,0,,0,r,,...,0,,0,r,,...,0,,0,r,,...,10.90,,0.0,,4831,,222,
2021-01-01,Opaskwayak Cree Nation 21A,2021A00054621033,3107,243,,210,,15.7,,96,,74,,29.7,,91,,70,,30.0,,5.72,,42.5,,3711,,190,
2021-01-01,Opaskwayak Cree Nation 21B,2021A00054621034,3108,278,,39,,612.8,,87,,14,,521.4,,85,,13,,553.8,,0.98,,284.9,,3588,,187,
2021-01-01,Opaskwayak Cree Nation 21C,2021A00054621035,3109,40,,18,,122.2,,16,,8,,100.0,,15,,8,,87.5,,1.26,,31.8,,4553,,215,
2021-01-01,Opaskwayak Cree Nation 21D,2021A00054621036,3110,0,,0,r,,...,0,,0,r,,...,0,,0,r,,...,0.73,,0.0,,4831,,222,
2021-01-01,Opaskwayak Cree Nation 21E,2021A00054621043,3111,2210,,2473,,-10.6,,570,,629,,-9.4,,557,,600,,-7.2,,24.73,,89.4,,1299,,72,
2021-01-01,Opaskwayak Cree Nation 21I,2021A00054621040,3112,119,,294,,-59.5,,52,,99,,-47.5,,47,,95,,-50.5,,1.83,,65.0,,4177,,202,
2021-01-01,Opaskwayak Cree Nation 21N,2021A00054621039,3113,5,,5,r,0.0,,2,,1,r,100.0,,2,,1,r,100.0,,1.18,,4.2,,4760,,220,
2021-01-01,Snow Lake,2021A00054621071,3114,1088,,899,,21.0,,604,,498,,21.3,,473,,405,,16.8,,1166.64,,0.9,,2012,,143,
2021-01-01,The Pas,2021A00054621045,3115,5639,,5369,,5.0,,2365,,2349,,0.7,,2150,,2098,,2.5,,44.69,,126.2,,684,,27,
